brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,
Samsung,Z630,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 2100 ,,HSPA,Class 10,Yes,2007  2Q,Discontinued,101 x 52 x 12.5 mm (3.98 x 2.05 x 0.49 in),95,3.35,Mini-SIM,TFT  256K colors,2.2 inches (~28.5% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,,,,microSD (dedicated slot),28 MB,,2 MP| LED flash,VGA videocall camera,Yes,No,No,2.0| A2DP,No,,No,1.1,,Removable Li-Ion 800 mAh battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/samsung-z630.gif,
Samsung,G600,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2007  July,Discontinued,101 x 47.8 x 14.9 mm (3.98 x 1.88 x 0.59 in),104,3.67,Mini-SIM,TFT  16M colors,2.2 inches (~31.0% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,,,,microSD (dedicated slot),55 MB,,5 MP| autofocus| LED flash,No,Yes,No,No,2.0| A2DP,No,,Stereo FM radio,2,,Removable Li-Ion 880 mAh battery,Black,120,http://cdn2.gsmarena.com/vv/bigpic/samsung-g600.gif,
Samsung,M610,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2007  October. Released 2007  November,Discontinued,99 x 45 x 17.5 mm (3.90 x 1.77 x 0.69 in),90,3.17,Mini-SIM,CSTN  65K colors,1.77 inches (~22.1% screen-to-body ratio),128 x 160 pixels (~116 ppi pixel density),,,,,microSD (dedicated slot),5 MB,,VGA,No,Yes,No,No,2.0| A2DP,No,,FM radio,1.1,,Removable Li-Ion 800 mAh battery,Black| Blue,60,http://cdn2.gsmarena.com/vv/bigpic/samsung-m610.gif,
Samsung,M600,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2007  3Q,Discontinued,92 x 46 x 15.2 mm (3.62 x 1.81 x 0.60 in),79,2.79,Mini-SIM,TFT  65K colors,1.78 inches (~23.2% screen-to-body ratio),120 x 160 pixels (~112 ppi pixel density),,,,,No,1.5 MB,,VGA,No,Yes,No,No,No,No,,FM radio,No,,Removable Li-Ion 800 mAh battery,Black,70,http://cdn2.gsmarena.com/vv/bigpic/samsung-m600.gif,
Samsung,M110,GSM,GSM 900 / 1800 ,,,,Class 10,No,2008  January. Released 2008  March,Discontinued,109 x 48 x 17.9 mm (4.29 x 1.89 x 0.70 in),95,3.35,Mini-SIM,CSTN  65K colors,1.52 inches (~14.2% screen-to-body ratio),128 x 128 pixels (~119 ppi pixel density),,,,,No,2 MB,,VGA| LED flash,No,Yes,No,No,1.2,No,,FM radio,No,,Removable Li-Ion 1000 mAh battery,Olive Green| Black,80,http://cdn2.gsmarena.com/vv/bigpic/samsung-m110.jpg,
Samsung,B500,GSM,GSM 900 / 1800 ,,,,Class 10,No,2008  February. Released 2008  March,Discontinued,88 x 43 x 17.9 mm (3.46 x 1.69 x 0.70 in),79,2.79,Mini-SIM,CSTN  65K colors,1.67 inches (~23.2% screen-to-body ratio),128 x 160 pixels (~123 ppi pixel density),,,,,No,1 MB,,,,Yes,No,No,No,No,,FM radio,Yes,,Removable Li-Ion battery,Blue| Black| Gray,80,http://cdn2.gsmarena.com/vv/bigpic/samsung-b500.jpg,
Samsung,B100,GSM,GSM 900 / 1800 ,,,,Class 10,No,2008  January. Released 2008  June,Discontinued,104 x 44 x 16.3 mm (4.09 x 1.73 x 0.64 in),78,2.75,Mini-SIM,CSTN  65K colors,1.52 inches (~16.3% screen-to-body ratio),128 x 128 pixels (~119 ppi pixel density),,,,,No,2 MB,,,,Yes,No,No,No,No,,No,No,,Removable Li-Ion 1000 mAh battery,Black,70,http://cdn2.gsmarena.com/vv/bigpic/samsung-b100.jpg,
Samsung,S730i,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,Yes,2007  July. Released 2007  October,Discontinued,100 x 50 x 14.8 mm (3.94 x 1.97 x 0.58 in),83,2.93,Mini-SIM,TFT  256K colors,2.0 inches (~25.2% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD (dedicated slot),80 MB,,2 MP| LED flash,No,Yes,No,No,2.0| A2DP,No,,No,2,,Removable Li-Ion 800 mAh battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/samsung-s730.gif,
Samsung,S720i,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,Yes,2007  July. Released 2008,Discontinued,96.5 x 46 x 17.7 mm (3.80 x 1.81 x 0.70 in),88,3.1,Mini-SIM,TFT  65K colors,2.0 inches (~28.4% screen-to-body ratio),128 x 160 pixels (~102 ppi pixel density),,,,,microSD (dedicated slot),20 MB,,1.3 MP|,No,Yes,No,No,2.0| A2DP,No,,No,2,,Removable Li-Ion 800 mAh battery,Anthracite,,http://cdn2.gsmarena.com/vv/bigpic/samsung-s720.gif,
Samsung,J200,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,Yes,2007  August. Released 2008  January,Discontinued,103 x 44.5 x 15.5 mm (4.06 x 1.75 x 0.61 in),79,2.79,Mini-SIM,TFT  256K colors,1.8 inches (~22.2% screen-to-body ratio),176 x 220 pixels (~157 ppi pixel density),,,,,microSD (dedicated slot),40 MB,,1.3 MP,VGA videocall camera,Yes,No,No,2.0| A2DP,No,,No,2,,Removable Li-Ion battery,Black,70,http://cdn2.gsmarena.com/vv/bigpic/samsung-j200.gif,
